Index Number,Volume,Title,Notes,,,,,,
00281,Vol. 8,"Class Photo taken in front of Lincoln School, 1917 or 1918",,,,,,,
00282,Vol. 8,Hyde Street looking toward Estudillo,,,,,,,
00283,Vol. 8,Reunion of San Leandro Veterans of World War II,,,,,,,
00284,Vol. 8,Marina Mudflat,,,,,,,
00285,Vol. 8,"Don Jose Joaquin Estudillo, known as the father of San Leandro",,,,,,,
00286,Vol. 8,Early Barber Shop,,,,,,,
00287,Vol. 8,"Bill Estate, located at Huff Avenue and Estudillo",,,,,,,
00288,Vol. 8,"Hudson Lumber Co. Mill, located at Williams St. & San Leandro Blvd.",,,,,,,
00289,Vol. 8,Lincoln School Class,,,,,,,
00290,Vol. 8,"Cherry Festival Parade, 1909",,,,,,,
00291,Vol. 8,"Bancroft School, grades 7 through 12 from 1927 until 1952",,,,,,,
00292,Vol. 8,"Stone Cherry Orchard in 1890, located near 105th Avenue.",,,,,,,
00293,Vol. 8,Grocery Store on East 14th Street,,,,,,,
00294,Vol. 8,Residence of Robert and Henrietta Farelly located at Dutton and Chetland. (Opposite Chevrolet Plant).,,,,,,,
00295,Vol. 8,"Grocery Store, East 14th Street. Feb., 1913 or 1919",,,,,,,
00296,Vol. 8,San Leandro Plaza about 1954,,,,,,,
00297,Vol. 8,"George R. Pyles' Barber Shop. Estudillo House 1229 Washington, about 1924.",,,,,,,
00298,Vol. 8,"School Band, Lincoln School",,,,,,,
00299,Vol. 8,"Estudillo Avenue, probably in the 20's",,,,,,,
00300,Vol. 8,Daniel Best and Friend show their catch after a Fishing Trip.,,,,,,,
00301,Vol. 8,Students of Union School in 1893,,,,,,,
00302,Vol. 8,Odd Fellows Meeting. The Hall was situated at 1252 E. 14th Street.,,,,,,,
00303,Vol. 8,"Santos Robinson Mortuary, Estudillo near E. 14th Street, about 1950",,,,,,,
00304,Vol. 8,"Class Picture, Lincoln School",,,,,,,
00305,Vol. 8,Gathering on Bayovista Hill for Afternoon Beer,,,,,,,
00306,Vol. 8,"Fire and Police Departments at the Old San Leandro City Hall, 250 Davis Street",,,,,,,
00307,Vol. 8,"Class Picture, Lincoln School",,,,,,,
00308,Vol. 8,Union School,,,,,,,
00309,Vol. 8,Class Photo of Union School,,,,,,,
00310,Vol. 8,"San Leandro Citizens Group at the World Fair, Treasure Island, 1939",,,,,,,
00311,Vol. 8,Baseball Team at the Ball Park between Juana and Parrott on San Leandro Blvd.,,,,,,,
00312,Vol. 8,"Inside of Schmidt's Watchmaking and Repair Shop, Showing J. B. C. Schmidt.",,,,,,,
00313,Vol. 8,"Informal Band Party, East 14th Street",,,,,,,
00314,Vol. 8,Auto Race Winner shown at E. 14th and Joaquin. Background shows Masonic Building under construction,,,,,,,
00315,Vol. 8,Postal Delivery Cart,,,,,,,
00316,Vol. 8,"Ladder Truck, built in San Francisco for the San Leandro Fire Department, taken on the E. 14th Street Bridge, 1901",,,,,,,
00317,Vol. 8,St. Mary's School ,,,,,,,
00318,Vol. 8,Portuguese Party Band on E. 14th St.,,,,,,,
00319,Vol. 8,Early San Leandro Fire Engine in front of the old fire department on Davis Street.,,,,,,,
00320,Vol. 8,Union School Class,,,,,,,
00321,Vol. 9,Caterpillar Tractor Company Gas Storage Tank on Alvarado Street,,,,,,,
00322,Vol. 9,Morgan Brol. Grocery Store on East 14th Street,,,,,,,
00323,Vol. 9,"Plaza, Washington and East 14th Street, 1897-1901",,,,,,,
00324,Vol. 9,Plaza on the First Day of Service of the Oakland,,,,,,,
00325,Vol. 9,"Caterpillar Plant, located at Davis and Martinez",,,,,,,
00326,Vol. 9,"Class Picture, St. Mary's School",,,,,,,
00327,Vol. 9,"Car Barn, Elmhurst Area",,,,,,,
00328,Vol. 9,Home of M. Camancho,,,,,,,
00329,Vol. 9,"Juana Avenue, San Leandro, Showing Street and Trees",,,,,,,
00330,Vol. 9,"Estudillo House, a Hotel, Davis and East 14th Street",,,,,,,
00331,Vol. 9,"San Leandro Boys Club Band, about 1910, taken in front of Lincoln School",,,,,,,
00332,Vol. 9,"Interior View of Bud Eber's Meat Market, Showing Mr. Eber",,,,,,,
00333,Vol. 9,Bill Estate on Estudillo Avenue. The New Firehouse now occupies this site,,,,,,,
00334,Vol. 9,"St. Joseph's Hall, Davis Street near San Leandro Boulevard",,,,,,,
00335,Vol. 9,"Class Picture, St. Mary's School",,,,,,,
00336,Vol. 9,Blossoms - 'Home Industry'. The Lady is identified as Dutra,,,,,,,
00337,Vol. 9,"Schmidt Jewelry, 1268 East 14th Street, also known as San Leandro Jeweler",,,,,,,
